Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5664;28/02/2018 - 23:45;96,6;31,71;0;0,95011921;Fora Ponta
5663;28/02/2018 - 23:30;103,635;35,805;0;0,94517945;Fora Ponta
5662;28/02/2018 - 23:15;104,58;37,065;0;0,94255275;Fora Ponta
5661;28/02/2018 - 23:00;107,52;39,48;0;0,93871819;Fora Ponta
5660;28/02/2018 - 22:45;109,62;38,43;0;0,94368912;Fora Ponta
5659;28/02/2018 - 22:30;113,295;38,955;0;0,94566133;Fora Ponta
5658;28/02/2018 - 22:15;120,54;40,425;0;0,9481036;Fora Ponta
5657;28/02/2018 - 22:00;123,9;39,795;0;0,95209569;Fora Ponta
5656;28/02/2018 - 21:45;114,555;38,64;0;0,94754818;Fora Ponta
5655;28/02/2018 - 21:30;113,295;38,11499999;0;0,94780123;Fora Ponta
5654;28/02/2018 - 21:15;112,98;37,8;0;0,94833016;Fora Ponta
5653;28/02/2018 - 21:00;116,13;37,695;0;0,95114776;Fora Ponta
5652;28/02/2018 - 20:45;121,38;41,37;0;0,94653291;Fora Ponta
5651;28/02/2018 - 20:30;122,64;41,79;0;0,94655518;Fora Ponta
5650;28/02/2018 - 20:15;126,84;42;0;0,9493101;Fora Ponta
5649;28/02/2018 - 20:00;129,465;44,51999999;0;0,94564975;Ponta
5648;28/02/2018 - 19:45;131,46;43,785;0;0,94875905;Ponta
5647;28/02/2018 - 19:30;127,68;43,36499999;0;0,94687711;Ponta
5646;28/02/2018 - 19:15;131,67;43,155;0;0,95026263;Ponta
5645;28/02/2018 - 19:00;130,095;42,525;0;0,95050839;Ponta
5644;28/02/2018 - 18:45;135,135;44,51999999;0;0,94978446;Ponta
5643;28/02/2018 - 18:30;138,495;44,52;0;0,95202105;Ponta
5642;28/02/2018 - 18:15;142,485;44,415;0;0,95469254;Ponta
5641;28/02/2018 - 18:00;146,79;50,085;0;0,94642557;Ponta
5640;28/02/2018 - 17:45;147,945;49,245;0;0,94881789;Ponta
5639;28/02/2018 - 17:30;155,4;51,45;0;0,94932278;Ponta
5638;28/02/2018 - 17:15;164,535;54,39;0;0,94946804;Ponta
5637;28/02/2018 - 17:00;171,36;54,285;0;0,95330859;Fora Ponta
5636;28/02/2018 - 16:45;175,875;55,755;0;0,95324663;Fora Ponta
5635;28/02/2018 - 16:30;177,24;55,33499999;0;0,95456044;Fora Ponta
