
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Pot�ncia: ;Posto hor�rio: 
14496;31/05/2018 - 23:45;81.79499999;24.98999999;0;0.9563611;Fora Ponta
14495;31/05/2018 - 23:30;84.525;24.99;0;0.95896619;Fora Ponta
14494;31/05/2018 - 23:15;89.565;25.61999999;0;0.96143883;Fora Ponta
14493;31/05/2018 - 23:00;84.945;25.83;0;0.95674546;Fora Ponta
14492;31/05/2018 - 22:45;83.37;26.88;0;0.95175379;Fora Ponta
14491;31/05/2018 - 22:30;84.52499999;26.25;0;0.95500621;Fora Ponta
14490;31/05/2018 - 22:15;88.725;27.29999999;0;0.955779;Fora Ponta
14489;31/05/2018 - 22:00;89.46;27.3;0;0.95645608;Fora Ponta
14488;31/05/2018 - 21:45;88.095;27.50999999;0;0.95454069;Fora Ponta
14487;31/05/2018 - 21:30;89.565;28.24499999;0;0.95370087;Fora Ponta
14486;31/05/2018 - 21:15;89.565;27.50999999;0;0.95592427;Fora Ponta
14485;31/05/2018 - 21:00;88.725;27.615;0;0.95482115;Fora Ponta
14484;31/05/2018 - 20:45;87.99;26.775;0;0.9566877;Fora Ponta
14483;31/05/2018 - 20:30;84.945;26.14499999;0;0.95575346;Fora Ponta
14482;31/05/2018 - 20:15;87.255;27.195;0;0.95470457;Fora Ponta
14481;31/05/2018 - 20:00;86.205;26.355;0;0.95630634;Fora Ponta
14480;31/05/2018 - 19:45;88.51499999;27.195;0;0.95590151;Fora Ponta
14479;31/05/2018 - 19:30;86.835;27.50999999;0;0.95330351;Fora Ponta
14478;31/05/2018 - 19:15;90.09;28.14;0;0.95451956;Fora Ponta
14477;31/05/2018 - 19:00;90.3;28.24499999;0;0.95440095;Fora Ponta
14476;31/05/2018 - 18:45;92.295;28.665;0;0.95500048;Fora Ponta
14475;31/05/2018 - 18:30;93.66;28.455;0;0.95681666;Fora Ponta
14474;31/05/2018 - 18:15;94.185;27.29999999;0;0.96046636;Fora Ponta
14473;31/05/2018 - 18:00;95.65499999;27.71999999;0;0.9604827;Fora Ponta
14472;31/05/2018 - 17:45;99.225;30.555;0;0.95571338;Fora Ponta
14471;31/05/2018 - 17:30;97.02;29.71499999;0;0.95615856;Fora Ponta
14470;31/05/2018 - 17:15;95.34;28.97999999;0;0.95677591;Fora Ponta
14469;31/05/2018 - 17:00;92.085;28.24499999;0;0.9560379;Fora Ponta
14468;31/05/2018 - 16:45;99.53999999;29.08499999;0;0.9598638;Fora Ponta
14467;31/05/2018 - 16:30;102.375;29.4;0;0.96115106;Fora Ponta
14466;31/05/2018 - 16:15;97.65;30.24;0;0.95524443;Fora Ponta
14465;31/05/2018 - 16:00;95.445;29.61;0;0.9550949;Fora Ponta
14464;31/05/2018 - 15:45;93.765;28.97999999;0;0.95540812;Fora Ponta
14463;31/05/2018 - 15:30;97.335;29.4;0;0.95728457;Fora Ponta
14462;31/05/2018 - 15:15;93.345;29.08499999;0;0.95472806;Fora Ponta
14461;31/05/2018 - 15:00;97.545;30.345;0;0.95486325;Fora Ponta
14460;31/05/2018 - 14:45;95.235;29.715;0;0.95461097;Fora Ponta
14459;31/05/2018 - 14:30;98.595;30.555;0;0.95518321;Fora Ponta
14458;31/05/2018 - 14:15;95.445;28.76999999;0;0.95744859;Fora Ponta
14457;31/05/2018 - 14:00;97.23;28.14;0;0.96057884;Fora Ponta
14456;31/05/2018 - 13:45;97.44;26.88;0;0.96399261;Fora Ponta
14455;31/05/2018 - 13:30;95.33999999;27.72;0;0.96023654;Fora Ponta
14454;31/05/2018 - 13:15;98.175;28.97999999;0;0.95908736;Fora Ponta
14453;31/05/2018 - 13:00;94.18499999;28.35;0;0.95756144;Fora Ponta
14452;31/05/2018 - 12:45;93.03;27.93;0;0.95776676;Fora Ponta
14451;31/05/2018 - 12:30;91.245;28.14;0;0.9555886;Fora Ponta
14450;31/05/2018 - 12:15;93.765;28.77;0;0.95601018;Fora Ponta
14449;31/05/2018 - 12:00;96.6;29.61;0;0.95609304;Fora Ponta
14448;31/05/2018 - 11:45;104.79;31.5;0;0.95766767;Fora Ponta
14447;31/05/2018 - 11:30;100.38;31.605;0;0.95383866;Fora Ponta
14446;31/05/2018 - 11:15;101.01;32.97;0;0.95064115;Fora Ponta
14445;31/05/2018 - 11:00;98.175;32.76;0;0.94858179;Fora Ponta
14444;31/05/2018 - 10:45;97.44;32.445;0;0.94878548;Fora Ponta
14443;31/05/2018 - 10:30;99.645;32.235;0;0.95145315;Fora Ponta
14442;31/05/2018 - 10:15;102.9;32.12999999;0;0.95454927;Fora Ponta
14441;31/05/2018 - 10:00;98.38499999;30.97499999;0;0.95384385;Fora Ponta
14440;31/05/2018 - 09:45;97.755;32.55;0;0.94878515;Fora Ponta
14439;31/05/2018 - 09:30;94.91999999;30.13499999;0;0.95311944;Fora Ponta
14438;31/05/2018 - 09:15;97.85999999;32.025;0;0.9504026;Fora Ponta
14437;31/05/2018 - 09:00;97.22999999;31.29;0;0.95192154;Fora Ponta
14436;31/05/2018 - 08:45;102.585;31.60499999;0;0.95567319;Fora Ponta
14435;31/05/2018 - 08:30;99.435;30.45;0;0.95617111;Fora Ponta
14434;31/05/2018 - 08:15;96.285;29.92499999;0;0.95494207;Fora Ponta
14433;31/05/2018 - 08:00;94.185;30.765;0;0.95057354;Fora Ponta
14432;31/05/2018 - 07:45;96.705;30.765;0;0.95293936;Fora Ponta
14431;31/05/2018 - 07:30;87.255;30.345;0;0.94451212;Fora Ponta
14430;31/05/2018 - 07:15;83.055;27.82499999;0;0.94820271;Fora Ponta
14429;31/05/2018 - 07:00;82.845;26.56499999;0;0.9522418;Fora Ponta
14428;31/05/2018 - 06:45;79.59;26.14499999;0;0.95005298;Fora Ponta
14427;31/05/2018 - 06:30;79.27499999;26.35499999;0;0.94893437;Fora Ponta
14426;31/05/2018 - 06:15;74.235;24.15;0;0.95094506;Fora Ponta
14425;31/05/2018 - 06:00;75.705;24.36;0;0.95193235;Fora Ponta
14424;31/05/2018 - 05:45;72.66;24.255;0;0.94854613;Fora Ponta
14423;31/05/2018 - 05:30;71.61;24.15;0;0.94756592;Fora Ponta
14422;31/05/2018 - 05:15;72.24;24.36;0;0.9475757;Fora Ponta
14421;31/05/2018 - 05:00;72.66;24.78;0;0.9464722;Fora Ponta
14420;31/05/2018 - 04:45;70.98;24.46499999;0;0.94541755;Fora Ponta
14419;31/05/2018 - 04:30;67.095;23.625;0;0.94323533;Fora Ponta
14418;31/05/2018 - 04:15;67.725;23.93999999;0;0.9428283;Fora Ponta
14417;31/05/2018 - 04:00;66.78;23.31;0;0.94413574;Fora Ponta
14416;31/05/2018 - 03:45;66.675;23.835;0;0.94164122;Fora Ponta
14415;31/05/2018 - 03:30;67.515;23.625;0;0.94388123;Fora Ponta
14414;31/05/2018 - 03:15;69.195;25.30499999;0;0.9391677;Fora Ponta
14413;31/05/2018 - 03:00;68.67;24.57;0;0.94154632;Fora Ponta
14412;31/05/2018 - 02:45;70.035;24.57;0;0.94361548;Fora Ponta
14411;31/05/2018 - 02:30;70.97999999;24.57;0;0.94498607;Fora Ponta
14410;31/05/2018 - 02:15;70.035;24.88499999;0;0.94228403;Fora Ponta
14409;31/05/2018 - 02:00;70.35;24.46499999;0;0.94451581;Fora Ponta
14408;31/05/2018 - 01:45;68.88;24.15;0;0.9436788;Fora Ponta
14407;31/05/2018 - 01:30;71.085;24.57;0;0.94513535;Fora Ponta
14406;31/05/2018 - 01:15;70.14;23.625;0;0.94768553;Fora Ponta
14405;31/05/2018 - 01:00;71.19;23.205;0;0.95076577;Fora Ponta
14404;31/05/2018 - 00:45;75.17999999;23.625;0;0.9540046;Fora Ponta
14403;31/05/2018 - 00:30;74.655;23.31;0;0.95455161;Fora Ponta
14402;31/05/2018 - 00:15;76.755;24.465;0;0.95277159;Fora Ponta
14401;31/05/2018 - 00:00;78.96;25.2;0;0.95265921;Fora Ponta
14400;30/05/2018 - 23:45;82.53;26.88;0;0.95083829;Fora Ponta
14399;30/05/2018 - 23:30;86.1;26.04;0;0.95718134;Fora Ponta
14398;30/05/2018 - 23:15;85.785;25.305;0;0.95914087;Fora Ponta
14397;30/05/2018 - 23:00;83.37;26.14499999;0;0.95418013;Fora Ponta
14396;30/05/2018 - 22:45;83.895;25.935;0;0.95539037;Fora Ponta
14395;30/05/2018 - 22:30;84.945;25.305;0;0.95837878;Fora Ponta
14394;30/05/2018 - 22:15;82.215;25.40999999;0;0.9554089;Fora Ponta
14393;30/05/2018 - 22:00;84.21;25.515;0;0.95703444;Fora Ponta
14392;30/05/2018 - 21:45;85.47;27.195;0;0.95292578;Fora Ponta
14391;30/05/2018 - 21:30;91.455;27.825;0;0.95670048;Fora Ponta
14390;30/05/2018 - 21:15;95.33999999;28.24499999;0;0.95880876;Fora Ponta
14389;30/05/2018 - 21:00;93.45;27.72;0;0.95871113;Fora Ponta
14388;30/05/2018 - 20:45;81.89999999;25.515;0;0.95474096;Fora Ponta
14387;30/05/2018 - 20:30;84.735;25.40999999;0;0.95785894;Fora Ponta
14386;30/05/2018 - 20:15;87.36;25.93499999;0;0.95864686;Fora Ponta
14385;30/05/2018 - 20:00;89.145;26.775;0;0.95773309;Ponta
14384;30/05/2018 - 19:45;88.83;26.775;0;0.95745168;Ponta
14383;30/05/2018 - 19:30;89.565;26.46;0;0.95902465;Ponta
14382;30/05/2018 - 19:15;91.56;26.775;0;0.95980251;Ponta
14381;30/05/2018 - 19:00;94.08;28.03499999;0;0.95835454;Ponta
14380;30/05/2018 - 18:45;95.97;28.03499999;0;0.95988229;Ponta
14379;30/05/2018 - 18:30;100.905;29.08499999;0;0.96087989;Ponta
14378;30/05/2018 - 18:15;101.01;27.825;0;0.96409;Ponta
14377;30/05/2018 - 18:00;104.895;29.19;0;0.96339346;Ponta
14376;30/05/2018 - 17:45;108.15;30.975;0;0.96134764;Ponta
14375;30/05/2018 - 17:30;107.205;30.555;0;0.96170146;Ponta
14374;30/05/2018 - 17:15;112.98;32.235;0;0.96162505;Ponta
14373;30/05/2018 - 17:00;111.51;31.91999999;0;0.96138718;Fora Ponta
14372;30/05/2018 - 16:45;115.5;32.34;0;0.96296401;Fora Ponta
14371;30/05/2018 - 16:30;121.17;33.39;0;0.96406642;Fora Ponta
14370;30/05/2018 - 16:15;129.57;35.06999999;0;0.96526747;Fora Ponta
14369;30/05/2018 - 16:00;122.115;34.125;0;0.9631015;Fora Ponta
14368;30/05/2018 - 15:45;128.31;35.91;0;0.96299675;Fora Ponta
14367;30/05/2018 - 15:30;131.67;36.855;0;0.96298794;Fora Ponta
14366;30/05/2018 - 15:15;135.345;38.22;0;0.9623646;Fora Ponta
14365;30/05/2018 - 15:00;133.77;37.37999999;0;0.96310521;Fora Ponta
14364;30/05/2018 - 14:45;135.45;39.26999999;0;0.96044905;Fora Ponta
14363;30/05/2018 - 14:30;136.395;38.11499999;0;0.96310249;Fora Ponta
14362;30/05/2018 - 14:15;135.45;37.8;0;0.9631963;Fora Ponta
14361;30/05/2018 - 14:00;136.5;37.065;0;0.96505445;Fora Ponta
14360;30/05/2018 - 13:45;134.295;35.28;0;0.96718219;Fora Ponta
14359;30/05/2018 - 13:30;101.85;25.40999999;0;0.97026006;Fora Ponta
14358;30/05/2018 - 13:15;133.875;33.495;0;0.97009772;Fora Ponta
14357;30/05/2018 - 13:00;134.505;34.02;0;0.96947105;Fora Ponta
14356;30/05/2018 - 12:45;133.665;34.335;0;0.96855581;Fora Ponta
14355;30/05/2018 - 12:30;131.145;35.28;0;0.96566799;Fora Ponta
14354;30/05/2018 - 12:15;131.145;35.49;0;0.96527916;Fora Ponta
14353;30/05/2018 - 12:00;133.35;36.54;0;0.96444768;Fora Ponta
14352;30/05/2018 - 11:45;136.29;38.43;0;0.96246954;Fora Ponta
14351;30/05/2018 - 11:30;142.8;39.165;0;0.96438646;Fora Ponta
14350;30/05/2018 - 11:15;145.11;39.375;0;0.96510144;Fora Ponta
14349;30/05/2018 - 11:00;143.325;38.22;0;0.96623493;Fora Ponta
14348;30/05/2018 - 10:45;147.21;39.795;0;0.96534932;Fora Ponta
14347;30/05/2018 - 10:30;147.21;39.69;0;0.9655226;Fora Ponta
14346;30/05/2018 - 10:15;145.845;38.325;0;0.96716467;Fora Ponta
14345;30/05/2018 - 10:00;142.485;38.22;0;0.96585587;Fora Ponta
14344;30/05/2018 - 09:45;138.81;35.7;0;0.96848283;Fora Ponta
14343;30/05/2018 - 09:30;142.8;36.75;0;0.96844384;Fora Ponta
14342;30/05/2018 - 09:15;138.81;36.33;0;0.96741491;Fora Ponta
14341;30/05/2018 - 09:00;135.345;36.75;0;0.96505693;Fora Ponta
14340;30/05/2018 - 08:45;132.93;34.75499999;0;0.96747916;Fora Ponta
14339;30/05/2018 - 08:30;133.35;33.80999999;0;0.96932896;Fora Ponta
14338;30/05/2018 - 08:15;134.085;35.28;0;0.96708434;Fora Ponta
14337;30/05/2018 - 08:00;128.31;34.545;0;0.96561575;Fora Ponta
14336;30/05/2018 - 07:45;128.625;33.18;0;0.96830199;Fora Ponta
14335;30/05/2018 - 07:30;124.425;32.235;0;0.96804098;Fora Ponta
14334;30/05/2018 - 07:15;119.7;31.605;0;0.96686547;Fora Ponta
14333;30/05/2018 - 07:00;109.095;30.87;0;0.96221978;Fora Ponta
14332;30/05/2018 - 06:45;91.875;26.985;0;0.9594702;Fora Ponta
14331;30/05/2018 - 06:30;85.68;25.51499999;0;0.95840619;Fora Ponta
14330;30/05/2018 - 06:15;83.37;24.78;0;0.95855417;Fora Ponta
14329;30/05/2018 - 06:00;79.8;22.47;0;0.96256836;Fora Ponta
14328;30/05/2018 - 05:45;76.64999999;23.625;0;0.95563737;Fora Ponta
14327;30/05/2018 - 05:30;75.17999999;23.415;0;0.95476426;Fora Ponta
14326;30/05/2018 - 05:15;72.66;22.575;0;0.95496979;Fora Ponta
14325;30/05/2018 - 05:00;69.615;21.84;0;0.95414648;Fora Ponta
14324;30/05/2018 - 04:45;72.76499999;22.785;0;0.95430829;Fora Ponta
14323;30/05/2018 - 04:30;72.345;23.625;0;0.95059714;Fora Ponta
14322;30/05/2018 - 04:15;73.185;24.255;0;0.94922664;Fora Ponta
14321;30/05/2018 - 04:00;73.28999999;24.46499999;0;0.94854731;Fora Ponta
14320;30/05/2018 - 03:45;72.66;23.73;0;0.95058891;Fora Ponta
14319;30/05/2018 - 03:30;72.03;24.465;0;0.94687365;Fora Ponta
14318;30/05/2018 - 03:15;71.61;23.72999999;0;0.94923856;Fora Ponta
14317;30/05/2018 - 03:00;73.605;26.04;0;0.94274179;Fora Ponta
14316;30/05/2018 - 02:45;73.08;25.515;0;0.94411185;Fora Ponta
14315;30/05/2018 - 02:30;73.815;25.62;0;0.94471414;Fora Ponta
14314;30/05/2018 - 02:15;74.23499999;25.2;0;0.94692774;Fora Ponta
14313;30/05/2018 - 02:00;74.025;25.305;0;0.94623968;Fora Ponta
14312;30/05/2018 - 01:45;75.39;25.40999999;0;0.94762216;Fora Ponta
14311;30/05/2018 - 01:30;77.385;25.305;0;0.95047334;Fora Ponta
14310;30/05/2018 - 01:15;78.225;26.46;0;0.94727535;Fora Ponta
14309;30/05/2018 - 01:00;80.43;27.29999999;0;0.94693839;Fora Ponta
14308;30/05/2018 - 00:45;84.63;25.83;0;0.95644364;Fora Ponta
14307;30/05/2018 - 00:30;80.22;26.145;0;0.95077767;Fora Ponta
14306;30/05/2018 - 00:15;79.48499999;26.56499999;0;0.94843242;Fora Ponta
14305;30/05/2018 - 00:00;77.595;24.77999999;0;0.95260358;Fora Ponta
14304;29/05/2018 - 23:45;78.96;24.36;0;0.95555894;Fora Ponta
14303;29/05/2018 - 23:30;80.115;24.78;0;0.95534481;Fora Ponta
14302;29/05/2018 - 23:15;83.58;26.985;0;0.95162971;Fora Ponta
14301;29/05/2018 - 23:00;82.53;25.72499999;0;0.95469585;Fora Ponta
14300;29/05/2018 - 22:45;83.475;25.725;0;0.95564896;Fora Ponta
14299;29/05/2018 - 22:30;84.63;24.56999999;0;0.96034622;Fora Ponta
14298;29/05/2018 - 22:15;86.31;25.62;0;0.9586568;Fora Ponta
14297;29/05/2018 - 22:00;87.15;26.25;0;0.95750818;Fora Ponta
14296;29/05/2018 - 21:45;90.50999999;25.93499999;0;0.96131324;Fora Ponta
14295;29/05/2018 - 21:30;98.90999999;28.24499999;0;0.96156245;Fora Ponta
14294;29/05/2018 - 21:15;93.87;27.09;0;0.96079056;Fora Ponta
14293;29/05/2018 - 21:00;90.825;27.40499999;0;0.95736814;Fora Ponta
14292;29/05/2018 - 20:45;89.565;26.66999999;0;0.95841184;Fora Ponta
14291;29/05/2018 - 20:30;90.72;27.72;0;0.95635157;Fora Ponta
14290;29/05/2018 - 20:15;93.765;28.665;0;0.95630999;Fora Ponta
14289;29/05/2018 - 20:00;97.01999999;28.24499999;0;0.96013953;Ponta
14288;29/05/2018 - 19:45;100.38;27.405;0;0.96469392;Ponta
14287;29/05/2018 - 19:30;101.85;28.97999999;0;0.96182271;Ponta
14286;29/05/2018 - 19:15;97.965;28.35;0;0.96058597;Ponta
14285;29/05/2018 - 19:00;96.91499999;27.40499999;0;0.96226787;Ponta
14284;29/05/2018 - 18:45;98.69999999;27.72;0;0.96275097;Ponta
14283;29/05/2018 - 18:30;102.27;26.985;0;0.96690716;Ponta
14282;29/05/2018 - 18:15;105.945;28.875;0;0.96480794;Ponta
14281;29/05/2018 - 18:00;113.925;29.50499999;0;0.96806108;Ponta
14280;29/05/2018 - 17:45;117.705;31.185;0;0.96664873;Ponta
14279;29/05/2018 - 17:30;117.81;32.97;0;0.96299966;Ponta
14278;29/05/2018 - 17:15;124.32;36.12;0;0.96029016;Ponta
14277;29/05/2018 - 17:00;123.795;36.12;0;0.95997263;Fora Ponta
14276;29/05/2018 - 16:45;132.615;37.69499999;0;0.96189667;Fora Ponta
14275;29/05/2018 - 16:30;135.345;38.01;0;0.96275428;Fora Ponta
14274;29/05/2018 - 16:15;136.71;39.06;0;0.96152394;Fora Ponta
14273;29/05/2018 - 16:00;142.59;40.32;0;0.96226907;Fora Ponta
14272;29/05/2018 - 15:45;144.375;39.375;0;0.96476382;Fora Ponta
14271;29/05/2018 - 15:30;143.325;39.06;0;0.96481273;Fora Ponta
14270;29/05/2018 - 15:15;143.22;38.22;0;0.96618789;Fora Ponta
14269;29/05/2018 - 15:00;141.54;36.54;0;0.96825489;Fora Ponta
14268;29/05/2018 - 14:45;140.805;35.28;0;0.97001471;Fora Ponta
14267;29/05/2018 - 14:30;142.275;35.28;0;0.97060422;Fora Ponta
14266;29/05/2018 - 14:15;146.055;36.015;0;0.97091759;Fora Ponta
