
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Pot�ncia: ;Posto hor�rio: 
17376;30/06/2018 - 23:45;85.47;27.93;0;0.95053511;Fora Ponta
17375;30/06/2018 - 23:30;84.63;27.29999999;0;0.95170861;Fora Ponta
17374;30/06/2018 - 23:15;83.78999999;26.56499999;0;0.95323903;Fora Ponta
17373;30/06/2018 - 23:00;83.58;26.45999999;0;0.9533652;Fora Ponta
17372;30/06/2018 - 22:45;86.205;27.405;0;0.95300197;Fora Ponta
17371;30/06/2018 - 22:30;85.785;28.24499999;0;0.94983948;Fora Ponta
17370;30/06/2018 - 22:15;89.66999999;29.71499999;0;0.94923759;Fora Ponta
17369;30/06/2018 - 22:00;92.39999999;28.875;0;0.95447997;Fora Ponta
17368;30/06/2018 - 21:45;96.18;29.295;0;0.95661061;Fora Ponta
17367;30/06/2018 - 21:30;88.935;28.24499999;0;0.9530882;Fora Ponta
17366;30/06/2018 - 21:15;89.46;28.035;0;0.95424052;Fora Ponta
17365;30/06/2018 - 21:00;89.77499999;28.56;0;0.95294041;Fora Ponta
17364;30/06/2018 - 20:45;91.66499999;28.76999999;0;0.95410975;Fora Ponta
17363;30/06/2018 - 20:30;93.03;30.345;0;0.95070233;Fora Ponta
17362;30/06/2018 - 20:15;92.4;28.55999999;0;0.95540264;Fora Ponta
17361;30/06/2018 - 20:00;94.92;28.98;0;0.95641725;Fora Ponta
17360;30/06/2018 - 19:45;93.44999999;29.92499999;0;0.952362;Fora Ponta
17359;30/06/2018 - 19:30;92.82;27.93;0;0.95758744;Fora Ponta
17358;30/06/2018 - 19:15;95.655;29.925;0;0.95438672;Fora Ponta
17357;30/06/2018 - 19:00;103.215;31.08;0;0.95753087;Fora Ponta
17356;30/06/2018 - 18:45;102.9;29.29499999;0;0.96178276;Fora Ponta
17355;30/06/2018 - 18:30;94.92;28.76999999;0;0.95700659;Fora Ponta
17354;30/06/2018 - 18:15;94.71;29.61;0;0.95444231;Fora Ponta
17353;30/06/2018 - 18:00;97.125;29.18999999;0;0.95768369;Fora Ponta
17352;30/06/2018 - 17:45;97.125;30.24;0;0.95479168;Fora Ponta
17351;30/06/2018 - 17:30;104.16;33.285;0;0.95254671;Fora Ponta
17350;30/06/2018 - 17:15;104.58;32.55;0;0.95482051;Fora Ponta
17349;30/06/2018 - 17:00;108.78;32.76;0;0.95752048;Fora Ponta
17348;30/06/2018 - 16:45;102.585;32.97;0;0.95203869;Fora Ponta
17347;30/06/2018 - 16:30;105.21;34.44;0;0.95037673;Fora Ponta
17346;30/06/2018 - 16:15;103.845;33.285;0;0.95227869;Fora Ponta
17345;30/06/2018 - 16:00;109.515;33.495;0;0.95627324;Fora Ponta
17344;30/06/2018 - 15:45;107.205;32.025;0;0.9581614;Fora Ponta
17343;30/06/2018 - 15:30;103.53;32.445;0;0.95423858;Fora Ponta
17342;30/06/2018 - 15:15;105.315;33.6;0;0.95268847;Fora Ponta
17341;30/06/2018 - 15:00;105.315;33.705;0;0.95241312;Fora Ponta
17340;30/06/2018 - 14:45;105.105;32.97;0;0.95415716;Fora Ponta
17339;30/06/2018 - 14:30;102.27;32.55;0;0.95290007;Fora Ponta
17338;30/06/2018 - 14:15;105.525;33.07499999;0;0.95422621;Fora Ponta
17337;30/06/2018 - 14:00;104.16;32.34;0;0.95502653;Fora Ponta
17336;30/06/2018 - 13:45;102.375;30.87;0;0.95741993;Fora Ponta
17335;30/06/2018 - 13:30;102.375;31.39499999;0;0.9560542;Fora Ponta
17334;30/06/2018 - 13:15;103.74;31.5;0;0.95686134;Fora Ponta
17333;30/06/2018 - 13:00;104.37;31.29;0;0.95787931;Fora Ponta
17332;30/06/2018 - 12:45;103.32;31.81499999;0;0.95571598;Fora Ponta
17331;30/06/2018 - 12:30;109.095;32.55;0;0.95825673;Fora Ponta
17330;30/06/2018 - 12:15;114.45;33.39;0;0.95998026;Fora Ponta
17329;30/06/2018 - 12:00;108.465;33.6;0;0.95521745;Fora Ponta
17328;30/06/2018 - 11:45;112.035;34.01999999;0;0.95685831;Fora Ponta
17327;30/06/2018 - 11:30;108.045;34.965;0;0.95142062;Fora Ponta
17326;30/06/2018 - 11:15;111.405;36.54;0;0.95019476;Fora Ponta
17325;30/06/2018 - 11:00;109.2;35.175;0;0.95183792;Fora Ponta
17324;30/06/2018 - 10:45;12.6;5.46;0;0.91755562;Fora Ponta
17323;30/06/2018 - 10:30;0;0;0;0;Fora Ponta
17322;30/06/2018 - 10:15;0;0;0;0;Fora Ponta
17321;30/06/2018 - 10:00;67.83;21.63;0;0.95273189;Fora Ponta
17320;30/06/2018 - 09:45;72.03;24.15;0;0.948129;Fora Ponta
17319;30/06/2018 - 09:30;1.785;0.735;0;0.92467809;Fora Ponta
17318;30/06/2018 - 09:15;0;0;0;0;Fora Ponta
17317;30/06/2018 - 09:00;44.09999999;11.445;0;0.96793466;Fora Ponta
17316;30/06/2018 - 08:45;103.74;29.18999999;0;0.96261919;Fora Ponta
17315;30/06/2018 - 08:30;111.615;33.6;0;0.95755313;Fora Ponta
17314;30/06/2018 - 08:15;104.685;34.545;0;0.94963148;Fora Ponta
17313;30/06/2018 - 08:00;107.1;35.28;0;0.94979478;Fora Ponta
17312;30/06/2018 - 07:45;102.165;33.59999999;0;0.94994485;Fora Ponta
17311;30/06/2018 - 07:30;100.065;33.59999999;0;0.94798468;Fora Ponta
17310;30/06/2018 - 07:15;96.81;31.92;0;0.94970831;Fora Ponta
17309;30/06/2018 - 07:00;93.345;30.24;0;0.95132461;Fora Ponta
17308;30/06/2018 - 06:45;91.77;32.235;0;0.94348751;Fora Ponta
17307;30/06/2018 - 06:30;87.78;28.97999999;0;0.94958807;Fora Ponta
17306;30/06/2018 - 06:15;84.21;28.76999999;0;0.94629703;Fora Ponta
17305;30/06/2018 - 06:00;83.05499999;29.4;0;0.9426819;Fora Ponta
17304;30/06/2018 - 05:45;82.32;27.40499999;0;0.94880424;Fora Ponta
