Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
23328;31/08/2018 - 23:45;94,71;31,605;0;0,94857808;Fora Ponta
23327;31/08/2018 - 23:30;96,81;31,395;0;0,951231;Fora Ponta
23326;31/08/2018 - 23:15;97,44;31,08;0;0,95270981;Fora Ponta
23325;31/08/2018 - 23:00;101,745;30,65999999;0;0,95747201;Fora Ponta
23324;31/08/2018 - 22:45;103,215;33,285;0;0,95173598;Fora Ponta
23323;31/08/2018 - 22:30;103,635;31,70999999;0;0,95623868;Fora Ponta
23322;31/08/2018 - 22:15;105;34,44;0;0,95019264;Fora Ponta
23321;31/08/2018 - 22:00;110,565;32,655;0;0,95904582;Fora Ponta
23320;31/08/2018 - 21:45;112,98;32,025;0;0,96209545;Fora Ponta
23319;31/08/2018 - 21:30;112,455;33,07499999;0;0,9593655;Fora Ponta
23318;31/08/2018 - 21:15;108,57;32,76;0;0,95736636;Fora Ponta
23317;31/08/2018 - 21:00;111,825;35,175;0;0,95392048;Fora Ponta
23316;31/08/2018 - 20:45;109,725;33,39;0;0,95668496;Fora Ponta
23315;31/08/2018 - 20:30;109,095;32,34;0;0,95876086;Fora Ponta
23314;31/08/2018 - 20:15;111,51;34,125;0;0,95622566;Fora Ponta
23313;31/08/2018 - 20:00;112,14;34,86;0;0,95492438;Ponta
23312;31/08/2018 - 19:45;114,135;35,06999999;0;0,95589301;Ponta
23311;31/08/2018 - 19:30;117,285;35,07;0;0,95808557;Ponta
23310;31/08/2018 - 19:15;115,605;34,23;0;0,95885081;Ponta
23309;31/08/2018 - 19:00;120,645;35,595;0;0,95912589;Ponta
23308;31/08/2018 - 18:45;126,525;38,64;0;0,95639468;Ponta
23307;31/08/2018 - 18:30;128,205;35,805;0;0,96314403;Ponta
23306;31/08/2018 - 18:15;128,1;34,65;0;0,96530951;Ponta
23305;31/08/2018 - 18:00;134,085;39,9;0;0,95846429;Ponta
23304;31/08/2018 - 17:45;139,02;40,73999999;0;0,95964203;Ponta
23303;31/08/2018 - 17:30;141,33;42;0;0,95856789;Ponta
23302;31/08/2018 - 17:15;148,995;45,78;0;0,95589545;Ponta
23301;31/08/2018 - 17:00;155,295;46,62;0;0,95777279;Fora Ponta
23300;31/08/2018 - 16:45;165,69;48,93;0;0,95905523;Fora Ponta
23299;31/08/2018 - 16:30;174,615;49,56;0;0,96200272;Fora Ponta
