
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Pot�ncia: ;Posto hor�rio: 
29184;31/10/2018 - 23:45;116.025;35.805;0;0.95553562;Fora Ponta
29183;31/10/2018 - 23:30;116.865;37.065;0;0.95320656;Fora Ponta
29182;31/10/2018 - 23:15;124.845;38.01;0;0.95664464;Fora Ponta
29181;31/10/2018 - 23:00;120.33;37.37999999;0;0.95498275;Fora Ponta
29180;31/10/2018 - 22:45;120.54;37.59;0;0.95465737;Fora Ponta
29179;31/10/2018 - 22:30;126.945;39.165;0;0.95555657;Fora Ponta
29178;31/10/2018 - 22:15;128.205;39.26999999;0;0.95615073;Fora Ponta
29177;31/10/2018 - 22:00;129.885;37.17;0;0.96140654;Fora Ponta
29176;31/10/2018 - 21:45;130.515;37.065;0;0.96196078;Fora Ponta
29175;31/10/2018 - 21:30;129.15;36.22499999;0;0.96284197;Fora Ponta
29174;31/10/2018 - 21:15;130.83;35.175;0;0.96570549;Fora Ponta
29173;31/10/2018 - 21:00;136.605;35.7;0;0.96750661;Fora Ponta
29172;31/10/2018 - 20:45;131.88;35.175;0;0.96622217;Fora Ponta
29171;31/10/2018 - 20:30;136.605;36.015;0;0.9669589;Fora Ponta
29170;31/10/2018 - 20:15;137.34;36.22499999;0;0.96693074;Fora Ponta
29169;31/10/2018 - 20:00;137.655;37.065;0;0.96560864;Ponta
29168;31/10/2018 - 19:45;136.395;37.275;0;0.96462659;Ponta
29167;31/10/2018 - 19:30;143.85;38.43;0;0.96611779;Ponta
29166;31/10/2018 - 19:15;145.005;39.58499999;0;0.96469931;Ponta
29165;31/10/2018 - 19:00;149.31;39.9;0;0.96609949;Ponta
29164;31/10/2018 - 18:45;157.815;40.635;0;0.96841295;Ponta
29163;31/10/2018 - 18:30;170.73;44.51999999;0;0.96764254;Ponta
29162;31/10/2018 - 18:15;170.835;46.515;0;0.96487322;Ponta
29161;31/10/2018 - 18:00;175.35;49.55999999;0;0.96230284;Ponta
29160;31/10/2018 - 17:45;179.445;49.76999999;0;0.96362285;Ponta
29159;31/10/2018 - 17:30;187.215;51.87;0;0.96369579;Ponta
29158;31/10/2018 - 17:15;194.67;55.44;0;0.9617585;Ponta
29157;31/10/2018 - 17:00;201.075;56.385;0;0.9628595;Fora Ponta
29156;31/10/2018 - 16:45;204.96;55.65;0;0.96505984;Fora Ponta
