
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Pot�ncia: ;Posto hor�rio: 
5856;31/12/2018 - 23:45;104.895;37.58999999;0;0.94137893;Fora Ponta
5855;31/12/2018 - 23:30;105.315;36.855;0;0.94387302;Fora Ponta
5854;31/12/2018 - 23:15;103.425;37.485;0;0.94015517;Fora Ponta
5853;31/12/2018 - 23:00;103.425;37.065;0;0.94137376;Fora Ponta
5852;31/12/2018 - 22:45;101.325;37.275;0;0.93850905;Fora Ponta
5851;31/12/2018 - 22:30;101.115;36.645;0;0.94016343;Fora Ponta
5850;31/12/2018 - 22:15;106.995;37.905;0;0.94259689;Fora Ponta
5849;31/12/2018 - 22:00;114.66;38.64;0;0.94763679;Fora Ponta
5848;31/12/2018 - 21:45;115.185;39.165;0;0.94676748;Fora Ponta
5847;31/12/2018 - 21:30;111.405;38.955;0;0.9439554;Fora Ponta
5846;31/12/2018 - 21:15;116.76;41.58;0;0.94204818;Fora Ponta
5845;31/12/2018 - 21:00;114.975;41.265;0;0.94121569;Fora Ponta
5844;31/12/2018 - 20:45;115.29;40.215;0;0.9442064;Fora Ponta
5843;31/12/2018 - 20:30;115.815;40.635;0;0.94360467;Fora Ponta
5842;31/12/2018 - 20:15;117.495;40.74;0;0.94481529;Fora Ponta
5841;31/12/2018 - 20:00;119.595;40.32;0;0.9475962;Ponta
5840;31/12/2018 - 19:45;117.285;38.64;0;0.94978288;Ponta
5839;31/12/2018 - 19:30;120.54;39.795;0;0.94958925;Ponta
5838;31/12/2018 - 19:15;118.545;40.11;0;0.94724732;Ponta
5837;31/12/2018 - 19:00;118.545;39.375;0;0.94901899;Ponta
5836;31/12/2018 - 18:45;118.65;38.01;0;0.95232624;Ponta
5835;31/12/2018 - 18:30;118.44;39.16499999;0;0.9494381;Ponta
5834;31/12/2018 - 18:15;118.755;39.165;0;0.9496861;Ponta
5833;31/12/2018 - 18:00;123.375;41.055;0;0.94884467;Ponta
5832;31/12/2018 - 17:45;123.48;41.265;0;0.94844107;Ponta
5831;31/12/2018 - 17:30;124.845;41.58;0;0.94876306;Ponta
5830;31/12/2018 - 17:15;129.255;44.31;0;0.94595941;Ponta
5829;31/12/2018 - 17:00;130.2;44.73;0;0.9457452;Fora Ponta
5828;31/12/2018 - 16:45;129.255;43.68;0;0.94736687;Fora Ponta
5827;31/12/2018 - 16:30;132.3;43.785;0;0.94935923;Fora Ponta
5826;31/12/2018 - 16:15;135.135;44.73;0;0.94934508;Fora Ponta
5825;31/12/2018 - 16:00;133.035;43.05;0;0.95142511;Fora Ponta
5824;31/12/2018 - 15:45;130.41;42.315;0;0.95118029;Fora Ponta
5823;31/12/2018 - 15:30;129.255;42.21;0;0.95059615;Fora Ponta
5822;31/12/2018 - 15:15;128.1;41.685;0;0.95091944;Fora Ponta
5821;31/12/2018 - 15:00;128.94;42.315;0;0.95014313;Fora Ponta
5820;31/12/2018 - 14:45;127.68;40.95;0;0.95222391;Fora Ponta
5819;31/12/2018 - 14:30;127.365;41.16;0;0.95154582;Fora Ponta
5818;31/12/2018 - 14:15;124.74;39.79499999;0;0.95269379;Fora Ponta
5817;31/12/2018 - 14:00;126.525;39.795;0;0.95392899;Fora Ponta
5816;31/12/2018 - 13:45;121.8;39.48;0;0.95127483;Fora Ponta
5815;31/12/2018 - 13:30;124.425;39.9;0;0.95223736;Fora Ponta
5814;31/12/2018 - 13:15;123.795;40.73999999;0;0.94988487;Fora Ponta
5813;31/12/2018 - 13:00;124.74;40.845;0;0.95034982;Fora Ponta
5812;31/12/2018 - 12:45;124.845;41.78999999;0;0.94828377;Fora Ponta
5811;31/12/2018 - 12:30;126.105;42.945;0;0.94661408;Fora Ponta
5810;31/12/2018 - 12:15;122.325;40.95;0;0.94827552;Fora Ponta
5809;31/12/2018 - 12:00;125.79;42.105;0;0.94828677;Fora Ponta
5808;31/12/2018 - 11:45;122.64;41.37;0;0.94754142;Fora Ponta
5807;31/12/2018 - 11:30;121.38;40.73999999;0;0.94802518;Fora Ponta
5806;31/12/2018 - 11:15;118.545;39.585;0;0.94851513;Fora Ponta
5805;31/12/2018 - 11:00;119.7;39.795;0;0.94893272;Fora Ponta
5804;31/12/2018 - 10:45;120.12;39.69;0;0.94951002;Fora Ponta
5803;31/12/2018 - 10:30;120.12;39.26999999;0;0.95049532;Fora Ponta
5802;31/12/2018 - 10:15;123.585;39.06;0;0.95350917;Fora Ponta
5801;31/12/2018 - 10:00;121.38;37.58999999;0;0.95524142;Fora Ponta
5800;31/12/2018 - 09:45;120.54;38.535;0;0.95251081;Fora Ponta
5799;31/12/2018 - 09:30;119.175;38.43;0;0.95174022;Fora Ponta
5798;31/12/2018 - 09:15;114.975;36.75;0;0.95252509;Fora Ponta
5797;31/12/2018 - 09:00;113.82;36.015;0;0.9534097;Fora Ponta
5796;31/12/2018 - 08:45;117.705;35.7;0;0.95695257;Fora Ponta
5795;31/12/2018 - 08:30;115.605;35.28;0;0.95645266;Fora Ponta
5794;31/12/2018 - 08:15;109.935;36.12;0;0.95003559;Fora Ponta
5793;31/12/2018 - 08:00;112.14;36.33;0;0.95132167;Fora Ponta
5792;31/12/2018 - 07:45;114.66;37.065;0;0.95151954;Fora Ponta
5791;31/12/2018 - 07:30;112.035;37.275;0;0.948861;Fora Ponta
5790;31/12/2018 - 07:15;108.885;36.33;0;0.94859178;Fora Ponta
5789;31/12/2018 - 07:00;114.135;36.12;0;0.9533969;Fora Ponta
5788;31/12/2018 - 06:45;107.31;34.65;0;0.95162081;Fora Ponta
5787;31/12/2018 - 06:30;105.525;36.33;0;0.94553283;Fora Ponta
5786;31/12/2018 - 06:15;106.68;38.01;0;0.94199336;Fora Ponta
5785;31/12/2018 - 06:00;101.22;35.48999999;0;0.94367507;Fora Ponta
5784;31/12/2018 - 05:45;95.235;34.86;0;0.9390658;Fora Ponta
5783;31/12/2018 - 05:30;90.825;33.285;0;0.93893477;Fora Ponta
5782;31/12/2018 - 05:15;85.785;31.08;0;0.94019596;Fora Ponta
5781;31/12/2018 - 05:00;85.68;31.08;0;0.94006222;Fora Ponta
5780;31/12/2018 - 04:45;87.35999999;32.445;0;0.93743577;Fora Ponta
5779;31/12/2018 - 04:30;85.89;33.39;0;0.93204743;Fora Ponta
5778;31/12/2018 - 04:15;86.72999999;32.445;0;0.93660847;Fora Ponta
5777;31/12/2018 - 04:00;86.30999999;32.655;0;0.93529643;Fora Ponta
5776;31/12/2018 - 03:45;84.945;32.97;0;0.93224235;Fora Ponta
5775;31/12/2018 - 03:30;82.63499999;32.55;0;0.9304206;Fora Ponta
5774;31/12/2018 - 03:15;84.735;34.01999999;0;0.92800009;Fora Ponta
5773;31/12/2018 - 03:00;82.74;32.235;0;0.93178258;Fora Ponta
5772;31/12/2018 - 02:45;83.475;33.075;0;0.9296815;Fora Ponta
5771;31/12/2018 - 02:30;83.475;32.86499999;0;0.93048094;Fora Ponta
5770;31/12/2018 - 02:15;83.475;33.075;0;0.9296815;Fora Ponta
5769;31/12/2018 - 02:00;81.9;31.92;0;0.9317354;Fora Ponta
5768;31/12/2018 - 01:45;81.585;31.395;0;0.93328367;Fora Ponta
5767;31/12/2018 - 01:30;86.205;33.495;0;0.93211116;Fora Ponta
5766;31/12/2018 - 01:15;88.19999999;33.39;0;0.93522648;Fora Ponta
5765;31/12/2018 - 01:00;88.62;34.335;0;0.93246007;Fora Ponta
5764;31/12/2018 - 00:45;87.78;34.33499999;0;0.93129207;Fora Ponta
5763;31/12/2018 - 00:30;88.51499999;34.125;0;0.93306004;Fora Ponta
5762;31/12/2018 - 00:15;88.41;32.76;0;0.93769501;Fora Ponta
5761;31/12/2018 - 00:00;91.97999999;34.86;0;0.93509513;Fora Ponta
5760;30/12/2018 - 23:45;92.925;34.96499999;0;0.93593744;Fora Ponta
5759;30/12/2018 - 23:30;91.98;34.65;0;0.9358013;Fora Ponta
5758;30/12/2018 - 23:15;92.295;33.915;0;0.93863448;Fora Ponta
5757;30/12/2018 - 23:00;95.02499999;33.495;0;0.94312493;Fora Ponta
5756;30/12/2018 - 22:45;96.705;34.44;0;0.94204237;Fora Ponta
5755;30/12/2018 - 22:30;93.345;33.18;0;0.94224442;Fora Ponta
5754;30/12/2018 - 22:15;95.97;33.18;0;0.94510894;Fora Ponta
5753;30/12/2018 - 22:00;95.33999999;33.81;0;0.94249104;Fora Ponta
5752;30/12/2018 - 21:45;101.115;36.435;0;0.94078774;Fora Ponta
5751;30/12/2018 - 21:30;103.11;35.69999999;0;0.94496318;Fora Ponta
5750;30/12/2018 - 21:15;102.48;36.015;0;0.94343562;Fora Ponta
5749;30/12/2018 - 21:00;108.36;36.435;0;0.94785344;Fora Ponta
5748;30/12/2018 - 20:45;110.985;37.275;0;0.94796338;Fora Ponta
5747;30/12/2018 - 20:30;105.105;37.275;0;0.94248516;Fora Ponta
5746;30/12/2018 - 20:15;102.165;35.91;0;0.94341915;Fora Ponta
5745;30/12/2018 - 20:00;107.31;37.37999999;0;0.94434711;Fora Ponta
5744;30/12/2018 - 19:45;112.035;37.38;0;0.94859435;Fora Ponta
5743;30/12/2018 - 19:30;106.575;37.69499999;0;0.9427672;Fora Ponta
5742;30/12/2018 - 19:15;114.555;38.85;0;0.94702113;Fora Ponta
5741;30/12/2018 - 19:00;116.55;36.33;0;0.95469398;Fora Ponta
5740;30/12/2018 - 18:45;111.3;37.905;0;0.94660932;Fora Ponta
5739;30/12/2018 - 18:30;112.245;38.11499999;0;0.94689685;Fora Ponta
5738;30/12/2018 - 18:15;111.405;38.01;0;0.94642966;Fora Ponta
5737;30/12/2018 - 18:00;108.15;36.43499999;0;0.94766636;Fora Ponta
5736;30/12/2018 - 17:45;110.565;35.175;0;0.95293766;Fora Ponta
5735;30/12/2018 - 17:30;112.98;36.225;0;0.9522493;Fora Ponta
5734;30/12/2018 - 17:15;111.195;36.75;0;0.94948713;Fora Ponta
5733;30/12/2018 - 17:00;111.615;36.95999999;0;0.94930657;Fora Ponta
5732;30/12/2018 - 16:45;113.61;38.64;0;0.94674073;Fora Ponta
5731;30/12/2018 - 16:30;116.235;39.48;0;0.94687175;Fora Ponta
5730;30/12/2018 - 16:15;117.705;39.9;0;0.94706587;Fora Ponta
5729;30/12/2018 - 16:00;115.815;39.9;0;0.94546403;Fora Ponta
5728;30/12/2018 - 15:45;119.7;40.845;0;0.94641794;Fora Ponta
5727;30/12/2018 - 15:30;117.705;40.73999999;0;0.94499609;Fora Ponta
5726;30/12/2018 - 15:15;116.655;40.53;0;0.94461144;Fora Ponta
5725;30/12/2018 - 15:00;116.55;40.11;0;0.94557196;Fora Ponta
5724;30/12/2018 - 14:45;114.975;38.955;0;0.94711489;Fora Ponta
5723;30/12/2018 - 14:30;113.925;38.64;0;0.94701189;Fora Ponta
5722;30/12/2018 - 14:15;120.225;39.375;0;0.95033019;Fora Ponta
5721;30/12/2018 - 14:00;113.295;38.325;0;0.94726927;Fora Ponta
5720;30/12/2018 - 13:45;110.46;39.05999999;0;0.94279162;Fora Ponta
5719;30/12/2018 - 13:30;109.935;38.535;0;0.94370368;Fora Ponta
5718;30/12/2018 - 13:15;113.61;38.325;0;0.9475387;Fora Ponta
5717;30/12/2018 - 13:00;114.87;38.535;0;0.94807492;Fora Ponta
5716;30/12/2018 - 12:45;117.915;37.8;0;0.95226648;Fora Ponta
5715;30/12/2018 - 12:30;122.325;39.69;0;0.95118395;Fora Ponta
5714;30/12/2018 - 12:15;118.86;38.64;0;0.95100937;Fora Ponta
5713;30/12/2018 - 12:00;120.645;39.06;0;0.9513803;Fora Ponta
5712;30/12/2018 - 11:45;122.43;39.69;0;0.95126163;Fora Ponta
5711;30/12/2018 - 11:30;119.91;39.26999999;0;0.95033449;Fora Ponta
5710;30/12/2018 - 11:15;117.915;38.01;0;0.9517725;Fora Ponta
5709;30/12/2018 - 11:00;115.185;36.75;0;0.95268596;Fora Ponta
