
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Pot�ncia: ;Posto hor�rio: 
2976;31/01/2018 - 23:45;101.01;35.805;0;0.94253726;Fora Ponta
2975;31/01/2018 - 23:30;100.905;37.17;0;0.93835978;Fora Ponta
2974;31/01/2018 - 23:15;102.165;36.855;0;0.94066537;Fora Ponta
2973;31/01/2018 - 23:00;103.32;37.065;0;0.94126484;Fora Ponta
2972;31/01/2018 - 22:45;106.575;36.015;0;0.94736848;Fora Ponta
2971;31/01/2018 - 22:30;108.885;38.115;0;0.94384416;Fora Ponta
2970;31/01/2018 - 22:15;113.085;38.43;0;0.94682096;Fora Ponta
2969;31/01/2018 - 22:00;111.93;39.165;0;0.94388596;Fora Ponta
2968;31/01/2018 - 21:45;116.235;38.43;0;0.94945238;Fora Ponta
2967;31/01/2018 - 21:30;109.725;38.85;0;0.94265679;Fora Ponta
2966;31/01/2018 - 21:15;114.765;40.21499999;0;0.94373714;Fora Ponta
2965;31/01/2018 - 21:00;118.755;39.69;0;0.94843142;Fora Ponta
2964;31/01/2018 - 20:45;108.57;37.905;0;0.9441143;Fora Ponta
2963;31/01/2018 - 20:30;110.67;39.375;0;0.94214569;Fora Ponta
2962;31/01/2018 - 20:15;114.03;40.74;0;0.94170266;Fora Ponta
2961;31/01/2018 - 20:00;115.5;41.79;0;0.94034131;Ponta
2960;31/01/2018 - 19:45;117.075;42.735;0;0.93937455;Ponta
2959;31/01/2018 - 19:30;121.38;44.51999999;0;0.93884131;Ponta
2958;31/01/2018 - 19:15;121.905;43.26;0;0.94241949;Ponta
2957;31/01/2018 - 19:00;121.905;42;0;0.94545948;Ponta
2956;31/01/2018 - 18:45;127.26;44.51999999;0;0.94390691;Ponta
2955;31/01/2018 - 18:30;124.005;43.785;0;0.9429461;Ponta
2954;31/01/2018 - 18:15;123.165;43.89;0;0.94197787;Ponta
2953;31/01/2018 - 18:00;124.005;43.155;0;0.94444284;Ponta
2952;31/01/2018 - 17:45;126.42;44.205;0;0.94395609;Ponta
2951;31/01/2018 - 17:30;136.71;44.94;0;0.94998846;Ponta
2950;31/01/2018 - 17:15;152.775;50.295;0;0.94985182;Ponta
2949;31/01/2018 - 17:00;144.585;51.765;0;0.94147865;Fora Ponta
2948;31/01/2018 - 16:45;150.465;53.55;0;0.94211319;Fora Ponta
2947;31/01/2018 - 16:30;154.98;52.5;0;0.94713199;Fora Ponta
2946;31/01/2018 - 16:15;152.04;51.345;0;0.94743278;Fora Ponta
2945;31/01/2018 - 16:00;161.28;53.025;0;0.94997408;Fora Ponta
2944;31/01/2018 - 15:45;161.385;50.61;0;0.95418124;Fora Ponta
2943;31/01/2018 - 15:30;159.285;49.14;0;0.95556083;Fora Ponta
2942;31/01/2018 - 15:15;169.365;52.70999999;0;0.95482692;Fora Ponta
2941;31/01/2018 - 15:00;173.145;52.815;0;0.95649104;Fora Ponta
2940;31/01/2018 - 14:45;173.88;54.17999999;0;0.95472585;Fora Ponta
2939;31/01/2018 - 14:30;174.615;53.76;0;0.95572929;Fora Ponta
2938;31/01/2018 - 14:15;174.3;51.87;0;0.95845959;Fora Ponta
2937;31/01/2018 - 14:00;178.29;53.235;0;0.95819823;Fora Ponta
2936;31/01/2018 - 13:45;185.535;55.755;0;0.95769192;Fora Ponta
2935;31/01/2018 - 13:30;187.005;54.705;0;0.95977637;Fora Ponta
2934;31/01/2018 - 13:15;194.04;55.44;0;0.96152394;Fora Ponta
2933;31/01/2018 - 13:00;194.355;54.80999999;0;0.96246012;Fora Ponta
2932;31/01/2018 - 12:45;182.49;53.13;0;0.960136;Fora Ponta
2931;31/01/2018 - 12:30;176.4;52.185;0;0.95891894;Fora Ponta
2930;31/01/2018 - 12:15;176.715;51.87;0;0.95951969;Fora Ponta
2929;31/01/2018 - 12:00;174.195;50.82;0;0.95998055;Fora Ponta
2928;31/01/2018 - 11:45;172.935;52.08;0;0.95752172;Fora Ponta
2927;31/01/2018 - 11:30;172.095;53.44499999;0;0.95500724;Fora Ponta
2926;31/01/2018 - 11:15;170.205;54.705;0;0.95203467;Fora Ponta
2925;31/01/2018 - 11:00;176.715;56.07;0;0.95317092;Fora Ponta
2924;31/01/2018 - 10:45;176.61;54.39;0;0.95570526;Fora Ponta
2923;31/01/2018 - 10:30;177.555;54.38999999;0;0.95614503;Fora Ponta
2922;31/01/2018 - 10:15;179.025;54.705;0;0.95634721;Fora Ponta
2921;31/01/2018 - 10:00;175.77;52.815;0;0.95770022;Fora Ponta
2920;31/01/2018 - 09:45;176.61;51.76499999;0;0.95962854;Fora Ponta
2919;31/01/2018 - 09:30;173.46;51.87;0;0.95808129;Fora Ponta
2918;31/01/2018 - 09:15;175.875;53.02499999;0;0.95743208;Fora Ponta
2917;31/01/2018 - 09:00;176.085;53.55;0;0.95673604;Fora Ponta
2916;31/01/2018 - 08:45;175.56;53.02499999;0;0.95728884;Fora Ponta
2915;31/01/2018 - 08:30;185.325;54.59999999;0;0.95923558;Fora Ponta
2914;31/01/2018 - 08:15;174.3;51.135;0;0.95955857;Fora Ponta
2913;31/01/2018 - 08:00;169.05;53.445;0;0.95348415;Fora Ponta
2912;31/01/2018 - 07:45;164.43;52.70999999;0;0.95226869;Fora Ponta
2911;31/01/2018 - 07:30;159.81;51.135;0;0.95243141;Fora Ponta
2910;31/01/2018 - 07:15;157.92;50.61;0;0.95229172;Fora Ponta
2909;31/01/2018 - 07:00;158.76;51.23999999;0;0.95166114;Fora Ponta
2908;31/01/2018 - 06:45;158.13;50.71499999;0;0.95222572;Fora Ponta
2907;31/01/2018 - 06:30;152.985;49.35;0;0.95170861;Fora Ponta
2906;31/01/2018 - 06:15;148.05;49.98;0;0.94746682;Fora Ponta
2905;31/01/2018 - 06:00;133.56;45.56999999;0;0.94642752;Fora Ponta
2904;31/01/2018 - 05:45;118.125;39.26999999;0;0.94893604;Fora Ponta
2903;31/01/2018 - 05:30;110.67;36.64499999;0;0.94931188;Fora Ponta
2902;31/01/2018 - 05:15;103.53;37.37999999;0;0.94057082;Fora Ponta
