Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
5853;31/10/2018 - 23:00;-;-;-;-;-
5852;31/10/2018 - 22:45;-;-;-;-;-
5851;31/10/2018 - 22:30;-;-;-;-;-
5850;31/10/2018 - 22:15;-;-;-;-;-
5849;31/10/2018 - 22:00;-;-;-;-;-
5848;31/10/2018 - 21:45;-;-;-;-;-
5847;31/10/2018 - 21:30;-;-;-;-;-
5846;31/10/2018 - 21:15;-;-;-;-;-
5845;31/10/2018 - 21:00;-;-;-;-;-
5844;31/10/2018 - 20:45;-;-;-;-;-
5843;31/10/2018 - 20:30;-;-;-;-;-
5842;31/10/2018 - 20:15;-;-;-;-;-
5841;31/10/2018 - 20:00;-;-;-;-;-
5840;31/10/2018 - 19:45;-;-;-;-;-
5839;31/10/2018 - 19:30;-;-;-;-;-
5838;31/10/2018 - 19:15;-;-;-;-;-
5837;31/10/2018 - 19:00;-;-;-;-;-
5836;31/10/2018 - 18:45;-;-;-;-;-
5835;31/10/2018 - 18:30;-;-;-;-;-
5834;31/10/2018 - 18:15;-;-;-;-;-
5833;31/10/2018 - 18:00;-;-;-;-;-
5832;31/10/2018 - 17:45;-;-;-;-;-
5831;31/10/2018 - 17:30;-;-;-;-;-
5830;31/10/2018 - 17:15;-;-;-;-;-
5829;31/10/2018 - 17:00;-;-;-;-;-
5828;31/10/2018 - 16:45;-;-;-;-;-
5827;31/10/2018 - 16:30;-;-;-;-;-
5826;31/10/2018 - 16:15;-;-;-;-;-
5825;31/10/2018 - 16:00;-;-;-;-;-
5824;31/10/2018 - 15:45;-;-;-;-;-
5823;31/10/2018 - 15:30;-;-;-;-;-
5822;31/10/2018 - 15:15;-;-;-;-;-
5821;31/10/2018 - 15:00;-;-;-;-;-
5820;31/10/2018 - 14:45;-;-;-;-;-
5819;31/10/2018 - 14:30;-;-;-;-;-
5818;31/10/2018 - 14:15;-;-;-;-;-
5817;31/10/2018 - 14:00;-;-;-;-;-
5816;31/10/2018 - 13:45;931,98;218,4;0;0,97362392;Fora Ponta
5815;31/10/2018 - 13:30;927,36;217,56;0;0,9735673;Fora Ponta
5814;31/10/2018 - 13:15;900,9;207,06;0;0,97458991;Fora Ponta
5813;31/10/2018 - 13:00;879,48;203,28;0;0,97431271;Fora Ponta
5812;31/10/2018 - 12:45;882,42;211,68;0;0,9724125;Fora Ponta
5811;31/10/2018 - 12:30;889,56;210,84;0;0,97304231;Fora Ponta
5810;31/10/2018 - 12:15;921,48;215,46;0;0,97373634;Fora Ponta
5809;31/10/2018 - 12:00;895,44;207,48;0;0,97419057;Fora Ponta
5808;31/10/2018 - 11:45;876,54;211,68;0;0,97205655;Fora Ponta
5807;31/10/2018 - 11:30;878,22;211,68;0;0,97215894;Fora Ponta
5806;31/10/2018 - 11:15;890,4;216,72;0;0,97163345;Fora Ponta
5805;31/10/2018 - 11:00;892,92;212,52;0;0,97282585;Fora Ponta
5804;31/10/2018 - 10:45;899,22;215,46;0;0,97247381;Fora Ponta
5803;31/10/2018 - 10:30;905,1;218,4;0;0,97209994;Fora Ponta
5802;31/10/2018 - 10:15;885,78;214,62;0;0,97187887;Fora Ponta
5801;31/10/2018 - 10:00;884,94;209,58;0;0,97308301;Fora Ponta
5800;31/10/2018 - 09:45;894,18;210,42;0;0,97341117;Fora Ponta
5799;31/10/2018 - 09:30;873,6;204,12;0;0,9737721;Fora Ponta
5798;31/10/2018 - 09:15;877,8;206,22;0;0,97349652;Fora Ponta
5797;31/10/2018 - 09:00;851,34;202,02;0;0,97298104;Fora Ponta
5796;31/10/2018 - 08:45;873,6;212,94;0;0,97155442;Fora Ponta
5795;31/10/2018 - 08:30;869,82;216,3;0;0,97044494;Fora Ponta
5794;31/10/2018 - 08:15;818,58;205,8;0;0,96981966;Fora Ponta
5793;31/10/2018 - 08:00;774,48;186,9;0;0,97209464;Fora Ponta
5792;31/10/2018 - 07:45;773,64;191,94;0;0,97057487;Fora Ponta
5791;31/10/2018 - 07:30;736,26;183,54;0;0,97030507;Fora Ponta
5790;31/10/2018 - 07:15;719,04;184,8;0;0,96852411;Fora Ponta
5789;31/10/2018 - 07:00;661,92;171,78;0;0,96793608;Fora Ponta
5788;31/10/2018 - 06:45;562,8;152,46;0;0,96521122;Fora Ponta
5787;31/10/2018 - 06:30;504;149,1;0;0,95891894;Fora Ponta
5786;31/10/2018 - 06:15;451,5;135,66;0;0,95770359;Fora Ponta
5785;31/10/2018 - 06:00;418,32;133,14;0;0,95290064;Fora Ponta
5784;31/10/2018 - 05:45;398,58;130,62;0;0,95027326;Fora Ponta
5783;31/10/2018 - 05:30;397,74;130,62;0;0,95007849;Fora Ponta
5782;31/10/2018 - 05:15;396,06;133,14;0;0,94787609;Fora Ponta
5781;31/10/2018 - 05:00;386,82;124,74;0;0,95173783;Fora Ponta
5780;31/10/2018 - 04:45;377,58;128,52;0;0,94666357;Fora Ponta
5779;31/10/2018 - 04:30;371,7;125,16;0;0,94771511;Fora Ponta
5778;31/10/2018 - 04:15;368,34;124,32;0;0,94748818;Fora Ponta
5777;31/10/2018 - 04:00;359,52;119,28;0;0,94912588;Fora Ponta
5776;31/10/2018 - 03:45;365,4;130,62;0;0,94164392;Fora Ponta
5775;31/10/2018 - 03:30;372,54;128,52;0;0,94532766;Fora Ponta
5774;31/10/2018 - 03:15;364,98;131,04;0;0,941177;Fora Ponta
5773;31/10/2018 - 03:00;372,54;129,36;0;0,94466908;Fora Ponta
5772;31/10/2018 - 02:45;372,54;128,1;0;0,94565586;Fora Ponta
5771;31/10/2018 - 02:30;376,74;127,68;0;0,94708764;Fora Ponta
5770;31/10/2018 - 02:15;370,44;120,96;0;0,95060545;Fora Ponta
5769;31/10/2018 - 02:00;374,22;125,58;0;0,94804295;Fora Ponta
5768;31/10/2018 - 01:45;387,24;128,52;0;0,94909424;Fora Ponta
5767;31/10/2018 - 01:30;388,5;135,24;0;0,94441412;Fora Ponta
5766;31/10/2018 - 01:15;393,12;135,66;0;0,94529782;Fora Ponta
5765;31/10/2018 - 01:00;406,56;139,86;0;0,94561149;Fora Ponta
5764;31/10/2018 - 00:45;417,06;139,86;0;0,94810886;Fora Ponta
5763;31/10/2018 - 00:30;423,36;141,12;0;0,94868329;Fora Ponta
5762;31/10/2018 - 00:15;428,82;140,28;0;0,95043714;Fora Ponta
5761;31/10/2018 - 00:00;436,8;137,76;0;0,95369347;Fora Ponta
5760;30/10/2018 - 23:45;451,5;143,22;0;0,95319324;Fora Ponta
5759;30/10/2018 - 23:30;458,64;139,86;0;0,95651461;Fora Ponta
5758;30/10/2018 - 23:15;463,68;134,4;0;0,96046636;Fora Ponta
5757;30/10/2018 - 23:00;448,56;137,76;0;0,95593369;Fora Ponta
5756;30/10/2018 - 22:45;463,26;139,02;0;0,95780238;Fora Ponta
5755;30/10/2018 - 22:30;474,6;148,68;0;0,95426937;Fora Ponta
5754;30/10/2018 - 22:15;480,48;149,52;0;0,95483572;Fora Ponta
5753;30/10/2018 - 22:00;480,48;145,74;0;0,95694698;Fora Ponta
5752;30/10/2018 - 21:45;485,52;144,06;0;0,95868927;Fora Ponta
5751;30/10/2018 - 21:30;490,14;150,36;0;0,95602664;Fora Ponta
5750;30/10/2018 - 21:15;501,9;149,94;0;0,95815666;Fora Ponta
5749;30/10/2018 - 21:00;516,6;153,3;0;0,95868008;Fora Ponta
5748;30/10/2018 - 20:45;540,12;162,54;0;0,95758;Fora Ponta
5747;30/10/2018 - 20:30;539,7;154,56;0;0,96135437;Fora Ponta
5746;30/10/2018 - 20:15;548,94;150,78;0;0,96428551;Fora Ponta
5745;30/10/2018 - 20:00;544,32;152,46;0;0,96294086;Ponta
5744;30/10/2018 - 19:45;551,88;156,24;0;0,96218432;Ponta
5743;30/10/2018 - 19:30;564,06;162,54;0;0,9609005;Ponta
5742;30/10/2018 - 19:15;572,46;168,84;0;0,95915232;Ponta
5741;30/10/2018 - 19:00;591,78;166,32;0;0,962701;Ponta
5740;30/10/2018 - 18:45;619,08;175,14;0;0,96223508;Ponta
5739;30/10/2018 - 18:30;624,12;174,3;0;0,96314555;Ponta
5738;30/10/2018 - 18:15;646,8;183,54;0;0,96201742;Ponta
5737;30/10/2018 - 18:00;666,12;189;0;0,9620259;Ponta
5736;30/10/2018 - 17:45;688,38;194,88;0;0,96218572;Ponta
5735;30/10/2018 - 17:30;723,24;200,76;0;0,96356599;Ponta
5734;30/10/2018 - 17:15;753,06;207,06;0;0,9642157;Ponta
5733;30/10/2018 - 17:00;777,42;214,62;0;0,96394196;Fora Ponta
5732;30/10/2018 - 16:45;791,7;216,72;0;0,96451542;Fora Ponta
5731;30/10/2018 - 16:30;791,7;203,7;0;0,96845751;Fora Ponta
5730;30/10/2018 - 16:15;831,18;213,36;0;0,9685974;Fora Ponta
5729;30/10/2018 - 16:00;859,32;219,66;0;0,96884763;Fora Ponta
5728;30/10/2018 - 15:45;860,16;211,68;0;0,97102842;Fora Ponta
5727;30/10/2018 - 15:30;878,22;213,36;0;0,9717339;Fora Ponta
5726;30/10/2018 - 15:15;916,44;222,18;0;0,97184701;Fora Ponta
5725;30/10/2018 - 15:00;883,68;216,3;0;0,9713256;Fora Ponta
5724;30/10/2018 - 14:45;895,02;217,14;0;0,97180895;Fora Ponta
5723;30/10/2018 - 14:30;900,9;217,56;0;0,97205725;Fora Ponta
5722;30/10/2018 - 14:15;881,16;213,36;0;0,97191435;Fora Ponta
5721;30/10/2018 - 14:00;880,74;214,2;0;0,97167623;Fora Ponta
5720;30/10/2018 - 13:45;858,06;208,32;0;0,97177084;Fora Ponta
5719;30/10/2018 - 13:30;866,88;211,26;0;0,97156525;Fora Ponta
5718;30/10/2018 - 13:15;842,52;215,04;0;0,96893741;Fora Ponta
5717;30/10/2018 - 13:00;824,46;213,36;0;0,96810773;Fora Ponta
5716;30/10/2018 - 12:45;813,96;211,26;0;0,96792945;Fora Ponta
5715;30/10/2018 - 12:30;850,92;223,44;0;0,96721044;Fora Ponta
5714;30/10/2018 - 12:15;849,24;222,18;0;0,96743919;Fora Ponta
5713;30/10/2018 - 12:00;840,42;218,82;0;0,96773529;Fora Ponta
5712;30/10/2018 - 11:45;849,66;226,38;0;0,96629041;Fora Ponta
5711;30/10/2018 - 11:30;851,34;221,34;0;0,96782483;Fora Ponta
5710;30/10/2018 - 11:15;851,34;214,62;0;0,96966223;Fora Ponta
5709;30/10/2018 - 11:00;890,82;226,8;0;0,96908525;Fora Ponta
5708;30/10/2018 - 10:45;900,06;220,92;0;0,97117324;Fora Ponta
5707;30/10/2018 - 10:30;868,56;212,52;0;0,97134601;Fora Ponta
5706;30/10/2018 - 10:15;861;208,74;0;0,97184681;Fora Ponta
5705;30/10/2018 - 10:00;856,8;210,42;0;0,97114222;Fora Ponta
5704;30/10/2018 - 09:45;847,56;211,26;0;0,97031196;Fora Ponta
5703;30/10/2018 - 09:30;850,92;216,72;0;0,9690639;Fora Ponta
5702;30/10/2018 - 09:15;831,6;211,26;0;0,96921408;Fora Ponta
5701;30/10/2018 - 09:00;835,38;214,62;0;0,9685466;Fora Ponta
5700;30/10/2018 - 08:45;824,88;212,1;0;0,96849633;Fora Ponta
5699;30/10/2018 - 08:30;803,46;211,68;0;0,96700247;Fora Ponta
5698;30/10/2018 - 08:15;780,36;200,76;0;0,96846419;Fora Ponta
5697;30/10/2018 - 08:00;764,82;199,08;0;0,96775257;Fora Ponta
5696;30/10/2018 - 07:45;729,12;193,62;0;0,96650239;Fora Ponta
5695;30/10/2018 - 07:30;710,64;189,84;0;0,96612112;Fora Ponta
5694;30/10/2018 - 07:15;660,66;183,54;0;0,96350913;Fora Ponta
5693;30/10/2018 - 07:00;625,8;181,02;0;0,96061862;Fora Ponta
5692;30/10/2018 - 06:45;537,18;164,64;0;0,95610169;Fora Ponta
5691;30/10/2018 - 06:30;446,04;129,36;0;0,9604243;Fora Ponta
5690;30/10/2018 - 06:15;426,72;126,84;0;0,95855028;Fora Ponta
5689;30/10/2018 - 06:00;410,76;123,06;0;0,95793405;Fora Ponta
5688;30/10/2018 - 05:45;369,6;126;0;0,94651018;Fora Ponta
5687;30/10/2018 - 05:30;372,96;124,32;0;0,94868329;Fora Ponta
5686;30/10/2018 - 05:15;358,26;113,4;0;0,95337974;Fora Ponta
5685;30/10/2018 - 05:00;357;115,08;0;0,95177191;Fora Ponta
5684;30/10/2018 - 04:45;358,68;117,18;0;0,95055852;Fora Ponta
5683;30/10/2018 - 04:30;351,12;113,4;0;0,95160127;Fora Ponta
5682;30/10/2018 - 04:15;349,02;112,14;0;0,95206431;Fora Ponta
5681;30/10/2018 - 04:00;347,34;109,62;0;0,95363493;Fora Ponta
5680;30/10/2018 - 03:45;340,2;109,2;0;0,95215079;Fora Ponta
5679;30/10/2018 - 03:30;339,36;107,94;0;0,95295675;Fora Ponta
5678;30/10/2018 - 03:15;341,46;111,72;0;0,95042225;Fora Ponta
5677;30/10/2018 - 03:00;344,4;109,62;0;0,95289525;Fora Ponta
5676;30/10/2018 - 02:45;348,18;113,4;0;0,95084001;Fora Ponta
5675;30/10/2018 - 02:30;354,06;113,4;0;0,95234541;Fora Ponta
5674;30/10/2018 - 02:15;352,38;115,08;0;0,95059181;Fora Ponta
5673;30/10/2018 - 02:00;346,5;114,66;0;0,94937148;Fora Ponta
5672;30/10/2018 - 01:45;356,58;118,02;0;0,94935208;Fora Ponta
5671;30/10/2018 - 01:30;353,64;114,24;0;0,95158071;Fora Ponta
